datetime	do
2020-01-01 00:30	6.76700
2020-01-01 01:00	6.72400
2020-01-01 01:30	6.63000
2020-01-01 02:00	6.61100
2020-01-01 02:30	6.58300
2020-01-01 03:00	6.61600
2020-01-01 03:30	6.59300
2020-01-01 04:00	6.59900
2020-01-01 04:30	6.61800
2020-01-01 05:00	6.51200
2020-01-01 05:30	6.47300
2020-01-01 06:00	6.50600
2020-01-01 06:30	6.51900
2020-01-01 07:00	6.65500
2020-01-01 07:30	6.80500
2020-01-01 08:00	6.74800
2020-01-01 08:30	6.83900
2020-01-01 09:00	6.98500
2020-01-01 09:30	6.94600
2020-01-01 10:00	7.03900
2020-01-01 10:30	7.13100
2020-01-01 11:00	7.05000
2020-01-01 11:30	6.94100
2020-01-01 12:00	6.85800
2020-01-01 12:30	6.86800
2020-01-01 13:00	6.77100
2020-01-01 13:30	6.91300
2020-01-01 14:00	7.09200
2020-01-01 14:30	7.14600
2020-01-01 15:00	7.25800
2020-01-01 15:30	7.35100
2020-01-01 16:00	7.35100
2020-01-01 16:30	7.31400
2020-01-01 17:00	7.40900
2020-01-01 17:30	7.60000
2020-01-01 18:00	7.62900
2020-01-01 18:30	7.84600
2020-01-01 19:00	7.81600
2020-01-01 19:30	7.80100
2020-01-01 20:00	7.79100
2020-01-01 20:30	7.74500
2020-01-01 21:00	7.74900
2020-01-01 21:30	7.67800
2020-01-01 22:00	7.59800
2020-01-01 22:30	7.48200
2020-01-01 23:00	7.43400
2020-01-01 23:30	7.45700
2020-01-02 00:00	7.37900
2020-01-02 00:30	7.28900
2020-01-02 01:00	7.18100
2020-01-02 01:30	7.10700
2020-01-02 02:00	7.11800
2020-01-02 02:30	7.14700
2020-01-02 03:00	7.00600
2020-01-02 03:30	6.83700
2020-01-02 04:00	6.82000
2020-01-02 04:30	6.81100
2020-01-02 05:00	6.80100
2020-01-02 05:30	6.77300
2020-01-02 06:00	6.73400
2020-01-02 06:30	6.73900
2020-01-02 07:00	6.74900
2020-01-02 07:30	6.78600
2020-01-02 08:00	7.00600
2020-01-02 08:30	7.04800
2020-01-02 09:00	7.14000
2020-01-02 09:30	7.11400
2020-01-02 10:00	7.09200
2020-01-02 10:30	7.19800
2020-01-02 11:00	7.32700
2020-01-02 11:30	7.25000
2020-01-02 12:00	7.32100
2020-01-02 12:30	7.28500
2020-01-02 13:00	7.25300
